date,starting_portfolio_value,asset_exposure,cash_exposure,portfolio_daily_return,transaction_cost,ending_portfolio_value,cumulative_return,drawdown,market_exposure_pct,cash_pct,peak_value
2011-08-29,1000.0,583.3333333333333,416.0833333333334,-0.0005833333333332691,0.5833333333333333,999.4166666666667,-0.0005833333333332691,0.0,58.367380972233796,41.632619027766204,999.4166666666667
2011-08-30,999.4166666666667,556.3928819190519,443.82394444444446,0.0008006267290883162,0.3612407407407407,1000.2168263634964,0.00021682636349629192,0.0,55.62722674261919,44.3727732573808,1000.2168263634964
2011-08-31,1000.2168263634964,551.1921123838113,449.8912548708815,0.0008663530430166322,0.2063169926918281,1001.0833672546928,0.0010833672546928241,0.0,55.059561512380874,44.940438487619126,1001.0833672546928
2011-09-01,1001.0833672546928,538.8183938371574,458.6540908087375,-0.003606974930269957,0.17578584966330144,997.4724846458948,-0.0025275153541051143,-0.003606974930269957,54.01837164745845,45.98162835254156,1001.0833672546928
2011-09-02,997.4724846458948,585.8166075121525,398.76363613805734,-0.012924908901383647,0.22535772030048867,984.5802436502098,-0.015419756349790203,-0.016485264009270417,59.49912272668703,40.50087727331297,1001.0833672546928
2011-09-05,984.5802436502098,574.3384754626223,409.8359505941089,-0.0004121732038558923,0.40581759347857416,984.1744260567312,-0.015825573943268778,-0.016890642429043257,58.35738668437168,41.64261331562831,1001.0833672546928
2011-09-06,984.1744260567312,576.9158394320638,409.8359505941089,0.0026188081108426964,0.0,986.7517900261727,-0.013248209973827363,-0.014316067669590926,58.46615585230016,41.53384414769984,1001.0833672546928
2011-09-07,986.7517900261727,586.912739163052,409.8359505941089,0.01013111892173324,0.0,996.748689757161,-0.0032513102428390894,-0.004329986531909968,58.88271990666396,41.117280093336035,1001.0833672546928
2011-09-08,996.748689757161,607.5380238511464,387.26138384159935,-0.0019556404582684594,0.36310661951883166,994.7994076927457,-0.005200592307254337,-0.006277159093332818,61.071409889579556,38.928590110420444,1001.0833672546928
2011-09-09,994.7994076927457,607.4505072855322,372.92592327863804,-0.014498377277914587,0.12385460614153493,980.3764305641703,-0.01962356943582977,-0.02068452775047891,61.960945647782154,38.039054352217846,1001.0833672546928
